"FAA Flight Check aircraft observed a UAS while conducting inspection of RNAV-A Approach. Aircraft took unknown evasive action. LEO not notified due to the late reporting of event. AWO/JH notified. ",NA,"During periodic inspection of the RNAV-A at W31 we had to maneuver to avoid a small remote controlled aircraft. The aircraft was less than 3 feet in wingspan and appeared to be something that could be bought at a hobby shop. There is a house immediately off the departure end of RWY 02 and the aircraft was operating over the house. We were able to avoid the remote aircraft and continued the mission with no further incident. ZDC QC comments, this report was submitted to the Flight Safety Program from a deidentified safety submission 5 days after the event. ",NA,"NA","NA"
"Aircraft observed a white UAS off the front side while SW bound at 4,900 feet, 10 NM NE of NGU. No evasive action was taken. Norfolk PD notified at 757-441-5610.","10 NM NE of NGU","CNV3820 (C130) was arriving from the NE to NGU.  He was on a southwest heading level at 050 (per ORF feed/flow).  Aircraft reported a near mid-air collision with a small, white UAS at 049. We depicted nothing on the radar scope.  Aircraft did not take evasive action presumably because he saw it at the very last minute and had no time to react. Pilot stated he had a near mid-air with a drone at 4,900 feet and they went right over top of the drone. Based on proximity, we believe the drone was operating over the water.  ",NA,"NA","NA"
"Aircraft observed a UAS off the front side while S bound at 2,000 feet, 13 NM N of CDW. No evasive action was taken. Fairfield PD notified at 973-227-1400.","13 NM N of CDW","N9741F CALLED LOCAL AND REPORTED  A DRONE HOVERING AT 2000' OVER WANNAQUE. DEN, LOCAL AUTHORITIES AND ATM NOTIFIED.",NA,"NA","NA"
"Aircraft observed a UAS while circling overhead 8G8 at 11,000 feet. No evasive action was taken. LEO notified at 330-535-6156.",NA,"N698DA WAS CLIMBING FOR PARACHUE OPERATIONS OVER 7D8 AIRPORT.  WHEN CLIMBING THROUGH 110, PILOT REPORTED A DRONE ORBITING OVER 7D8 AIRPORT AT 80 WITH A WHITE TOP AND BLACK BOTTOM.  NO EVASIVE ACTION TAKEN, AIRCRAFT DESCENDED AND LANDED 7D8 WITHOUT INCIDENT.  A/C DEPRTED AND CLIMBED OVER 7D8 TEN MINUTES LATER AND DID NOT SEE A DRONE AGAIN.",NA,"NA","NA"
NA,NA,"SECRET SERVICE CALLED TO REPORT UNAUTHORIZED UAS ACTIVITY AT 15TH STREET AND CONSTITUTION AVE. SECRET SERVICE DETAINED AND CONFISCATED THE DRONE. PROPEL FOLDING QUAD DRONE. BLACK AND WHITE. OWNER: 8 YEAR OLD BOY.",NA,"NA","NA"
"Aircraft observed a grey UAS off the right side while E bound at 11,000 feet, 6 NM SW of ASH. No evasive action was taken. Massachusetts State PD notified at 508-820-2121.","6 NM SW of ASH","SKYDIV5 C208 conducting parachute operations at 26MA through 11,000FT reported sighting UAS 1.5 miles south of their position.  Large grey UAS appeared to be operating at 9,000FT.","1.5 miles south","NA","NA"
"Aircraft observed a UAS off the left side while SE bound at 5500 feet, 8 NM NW of LAX. No evasive action was taken. LAPD Air Division notified at 213-485-2600.","8 NM NW of LAX","N2085U AT 550' SOUTHBOUND ON THE COASTAL ROUTE REPORTED A SILVER DRONE OPPOSITE DIRECTION AT 4500'. 340245/1182820",NA,"34.069","-118.49910000000001"
"At 1815 aircraft observed a black UAS 300 feet off the right side while E bound at 1500 feet, 1/4 NM S approach end RWY 26L. No evasive action was taken, however ATCT moved arrival traffic to RWY 26R to avoid UAS activity. UAS could not be seen from the ATCT and was not observed by any other aircraft. Chino Police notified at 909-628-1234. CNO ATCT will transition back to normal pattern and arrival traffic. AWO notified.","1/4 NM S","N6395F C182 was on the left downwind for runway 26L and reported a drone black in color off his right side approx. 300ft. ACN.",NA,"33.574600000000004","-117.38130000000001"
"Aircraft observed a white UAS while W bound at 2300 feet, 10 NM E of PDX, turning final for RWY 28L. No evasive action was taken. Portland Communications Center notified at 503-460-4000.","10 NM E of PDX","ASA851 REPORTED A MEDIUM SIZED WHITE DRONE, HOVERING AROUND 2300FT, AS THEY TURNED FINAL (10 MILES EAST) TO RUNWAY 28L AT PDX. DEN/ROC/TSA/PORT COMMS/ATM NOTIFIED.","10 MILES EAST","45.505500000000005","-122.44030000000001"
"Aircraft observed a large black UAS off the left side while SW bound at 2,500 feet, 5 NM north of LGA. No evasive action was taken. LEO notified at 718-692-1220.","5 NM north of LGA","RPA5008, E75L INBOUND TO LGA ON VECTORS FOR FINAL REPORTED A LARGE BLACK DRONE AT 2500' PASSINGOFF HIS LEFT SIDE.  NO  EVASIVE MANEUVERS OR INJURIES REPORTED.  NYPD AVIATION NOTFIED.",NA,"NA","NA"
"Aircraft observed a blue and green UAS 300 feet below while SE bound at 3500 feet, 5 NM SE of PVD. No evasive action was taken. Rhode Island Airport Police notified at 401-691-2247.","5 NM SE of PVD","N70075 REPORTED A DRONE BELOW HIM ABOUT 300 FEET OR SO. THE DRONE WAS DESCRIBED AS AN IRIDESCENT BLUE/GREEN COLOR BUT NO OTHER INFORMATION WAS GIVEN PILOT REPORTED THE DRONE WAS OVER LAND (PRUDENCE ISLAND?). AIRPORT POLICE WAS NOTIFIED AND THEY NOTIFIED PORTSMOUTH POLICE DEPARTMENT. DEN ADZD AS WELL.   ",NA,"NA","NA"
"Aircraft observed a white quadcopter UAS 100 feet below while NE bound at 10,000 feet, 25 NM SE of ORD. No evasive action was taken. Chicago FBI notified at 312-421-6700.","25 NM SE of ORD","25 MILES SOUTHWEST OF ORD, SKW3264 WAS LEVEL 10,000 FEET, HEADING 040 VECTIRS TO ENTER A DOWNWIND FOR RY28C. PILOT REPORTED A WHITE SMALL DRONE PASSING 100 FEETBELOW. NO EVASIVE ACTION TAKEN , NO DAMAGE, NO INJURIES, NO IMPACT TO OPERATIONS. NOTIFIED DEN, ROC, FBI (312-421-6700)","25 MILES SOUTHWEST OF ORD","NA","NA"
"Aircraft observed a orange and black quadcopter UAS off the right side while E bound at 5000 feet, 24 NM WNW of LZU. No evasive action was taken. Cherokee County Sheriff notified at 678-493-4100.","24 NM WNW of LZU","XAA2899, G280, reported a four rotor black drone with an orange and brown center 004 below and 002 to the right wing. Cherokee County Police (678-493-4100 Operator 4528) were notified.",NA,"34.094500000000004","84.21470000000001"
"Aircraft observed a blue rotorcraft UAS 100 feet off the right side while E bound at 3000 feet, 6 NM NW of HWV. No evasive action was taken. SCPD Aviation notified.","6 NM NW of HWV","N17MN, PA32 VFR HEADING EASTBOUND AND REPORTED A BLUE DRONE AT ABOUT 100' OFF HIS RIGHT SIDE WHILE HE WAS AT 3000'.  NO EVASIVE MANEUVERS OR INJURIES REPORTED.  DEN AND SCPD AVIATION ADVISED.",NA,"NA","NA"
"Aircraft observed a 6 green UAS in formation off the right side while E bound at 3,500 feet, 10 NM SW of PVD. No evasive action was taken. PVD Airport PD notified at 401-691-2247. 0215 HQDEN coordinated with PVD Airport PD to have them report incident to Local or State PD. North Kingstown PD notified at 401-294-3311 and Rhode Island State PD notified at 4012-444-1000. PVD Airport PD will report any updates. ","10 NM SW of PVD","N9555L AA5 10SW OF PVD HEADING EAST TO LAND AT OQU, THE PILOT REPORTED SEEING 6 UAS ABOVE AND BELOW THE A/C ALT OF 035. UNKNOWN CHARACTERISTICS. ",NA,"NA","NA"
"Via WOC page: Aircraft observed a mylar balloon shaped UAS while S bound at 11,000 feet, 8 NM W of DEN. No evasive action was taken. Denver Airport Police notified.","8 NM W of DEN","MULTIPLE AIRCRAFT REPORTED A MYLAR BALLOON SHAPED DRONE IN THE WEST DOWNWIND AT 108, HOVERING OVER HIMOM.",NA,"39.8127","-104.8083"
"Aircraft observed a black UAS off the right side while S bound at 1500 feet, left downwind RWY 35. No evasive action was taken. Kalamazoo Public Safety notified at 269-488-6633.",NA,"N7900Y was in the left downwind to RWY 35 at AZO.  The pilot reported passing a drone, approximately 200 feet off of their right side, over Bronson Hospital, at 2500 ft.  The pilot reported a quadcopter drone, black with red lights, and 1-2' in diameter.  Kalamazoo Public Dispatch, 269-488-6633, was notified of the event.  ",NA,"NA","NA"
"Aircraft observed a black UAS off the right side while SW bound at 400 feet, 1 NM NE of JFK. No evasive action was taken. No impact to airport operations. NYPD notified at 718-692-1220.","1 NM NE of JFK","RPA5648, E75S, LANDING RWY 22L AT JFK REPORTED A DRONE ON FINAL AT 400 FT ON HIS RIGHT SIDE.  NYPD AVIATION UNIT WAS NOTIFIED AND NO ACTION WAS TAKEN BY THE PILOT.",NA,"NA","NA"
"Aircraft observed a UAS off the left side while E bound at 2600 feet, 10 NM final RWY 10L. No evasive action was taken. Palm Beach Sheriff notified at 561-688-3400.","10 NM ","N219JL, LJ45, CONDUCTING A VISUAL APCH TO RWY 10L AT PBI REPORTED UAS OFF RIGHT SIDE HEADING EAST AT ABOUT 026 FEET, GOLD IN COLOR. NO ACTION WAS TAKEN BY PILOT. NO OTHER REPORTS RECEIVED.",NA,"NA","NA"
"Aircraft observed a white quadcopter UAS off the 12 o'clock 1000 feet below while S bound at 4000 feet, 5 NM S of ORD. No evasive action was taken. Chicago FBI notified at 312-421-6700.","5 NM S of ORD","AAL2300 DEPARTED ORD HEADING 175 CLIMBING TO 5000 FEET. PILOT REPORTED LEAVING 4000 FEET THAT HE SPOTTED A WHITE ROTORCRAFT DRONE 1000 FEET BELOW. NO EVASIVE ACTION TAKEN,NO INJURIES, NO DAMAGE, NO IMPACTTO OPERATIONS. CONTACTED FBI, DEN",NA,"NA","NA"
"Aircraft observed a small UAS at same altitude, 6,000 feet, while directly over Akron, OH. No evasive action was taken. Summit County Sheriff notified at 330-643-2181.",NA,"SMALL DRONE,NO ISSUE",NA,"NA","NA"
NA,NA,"EDV4756 (climbing through 4,300') reported a black quad copter approximately 500' below the aircraft approximately 2 miles NE of AZO. The pilot did not take any evasive maneuvers to avoid. A similar event occurred yesterday with the same description of the UAS. We notified the City of Kalamazoo at 269-337-8120.","2 miles NE of AZO","NA","NA"
"Aircraft observed a UAS off the right side 1,000 feet above while at 2,000 feet, 5 NM E of GYY. No evasive action was taken. Lake County Sheriff notified via 911. ","5 NM E of GYY","N52332 REPORTED FAST MOVING DRONE TO HIS RIGHT AND 1000 FT ABOVE, TYPE UNKNOWN. OPERATOR 110 OF LAKE COUNTY SHERIFF'S 911 NOTIFIED.",NA,"NA","NA"
"Aircraft observed a white quadcopter UAS off the right side while N bound at 6,700 feet, 5 NM N of VCN. No evasive action was taken. Philadelphia PD notified at 215-937-6963.","5 NM N of VCN","PDT6097 E145 LEVEL AT 060 PHL INBOUND TO RWY 35 REPORTED A WHITE QUADCOPTER ON THE VCN320/05. NO ACTION TAKEN BY THE CREW. DEN NOTIFIED. ",NA,"NA","NA"
"Aircraft observed a UAS off the right side while S bound at 4,500 feet, 12 NM S of UAO. No evasive action was taken. Marion County PD notified at 503-588-6123.","12 NM S of UAO","The Skyhawk pilot reported a drone 12 miles South of Aurora State Airport. The Skyhawk was heading Southbound at 4,500 feet. They reported the small drone as 1,500 feet below them, heading Westbound, at an airspeed above 100 knots. No evasive action necessary.

Local Law Enforcement/Police Department: Marion County/Willamette Valley Communications (503)588-6123. ","12 miles S","NA","NA"
"Aircraft observed a UAS off the left side 300 feet below him while a 4 mile final to Rwy 23 at BUF, 2100 feet.  No evasive action was taken.  Erie County Sheriff notified at 716 858 2903.",NA,"PILOT REPORTS DRONE ON A 4 MILE FINAL AT ABOUT 1800 FT. NO EVASIVE ACTION WAS TAKEN FROM PILOT. ERIE COUNTY SHERRIF, ROC, AND DEN HAVE BEEN NOTIFIED.",NA,"42.592400000000005","78.3657"
"Aircraft observed a white UAS off the front side while WSW bound at 1,200 feet, over ACK. No evasive action was taken. No impact to airport operations. Nantucket PD notified.",NA,"FDY43, C208, IFR inbound to ACK, over ACK VOR, reported a drone within 1/2 mile and at their altitude. Pilot stated it was white but gave no other description. Pilot did not report taking any evasive action. Nantucket Police Department and ATM notified. Subsequent arrivals did not report seeing anything in that area. ",NA,"NA","NA"
NA,NA," N949SC NOTFIED THE WEST RADAR CONTROLLER THAT THEY HAD A DRONE OFF OF THEIR LEFT WING AT 2000FT. N9SC WAS INBOUND TO LFT FOR LANDING RUNWAY 22L. AFTER LANDING THE AIRCRAFT COULDN'T GIVE SPECIFICS OF THE UAS BUT SAID IT MAY HAVE BEEN A BALOON. REPORTED TO LAFAYETTTE SHERIFF'S OFFICE. ",NA,"NA","NA"
"Aircraft observed a UAS off the right side while W bound at 3,200 feet, 8 NM E of PHX. No evasive action was taken. Phoenix PD notified at 602-273-3311.","8 NM E of PHX","ATN7451 B762 ON AN 8 MILE FINAL TO RWY 25R AT 3,200 AT 2228Z ADVISED LS THE A UAS PASSED OF THEIR RIGHT SIDE. DEN AND PHX PD NOTIFIED. ATN7451 DID NOT HAVE ANY INFO ON SIZE OR COLOR OF UAS",NA,"NA","NA"
"Aircraft observed a white quadcopter UAS off the right side while N bound at 4,000 feet, 8.21 NM N of OKC. No evasive action was taken. LEO not notified.","8.21 NM N of OKC","N87NG REPORTED SEEING A WHITE 4 ROTOR UAS OFF HIS LEFT ABOUT 1500 FEET BELOW HIM.  THE PILOT SAID THE DRONE WAS JUST OUT HIS LEFT WINDOW NOT NEAR ANY BUILDINGS.  HE WAS UNABLE IDENTIFY THE TYPE OF DRONE.  NO ACTIONS WERE NEEDED BY THE PILOT. NO OTHER REPORTS OF A DRONE WERE RECIEVED.",NA,"35.2952","97.3151"
"Aircraft observed a UAS off the 2 o'clock position while SSW bound at 6,500 feet, 3 NM direction of SAU. No evasive action was taken. Marion County PD notified at 415-289-4170.","3 NM ","QTR67L/A35K reported an UAS on the SAU125003 at 6,500'.  Marion County police notified.  ",NA,"37.81666","-122.47583"
"Aircraft observed a white UAS 500 feet below while N bound at 1,000 feet, 5 NM SW of CHS. No evasive action was taken. No impact to airport operations. North Charleston PD notified at 843-745-1015.","5 NM SW of CHS","N408DA reported a small white drone approximately 500ft below them. No action was taken by the pilot. No other aircraft affected by the drone and no other reports received. Tried calling the N. Charleston non emergency phone number several times and no answer.   ",NA,"79.8166667","111.066667"
"Aircraft observed an orange UAS off the right side while SW bound at 4,000 feet, 20 NM ENE of ORL. No evasive action was taken. Orange County SD notified at 407-893-3600.","20 NM ENE of ORL","AAL668 B738 IFR KCLT-KMCO reported seeing an orange color drone off 2 o'clock 900 feet below over the ORL 075R 10DME. No evasive action. Orange County Sheriff contacted at (407) 893-3600. DEN contacted.",NA,"28.3545","81.0924"
"Aircraft observed a UAS while W bound at 300 feet, 1 NM W of ORD. No evasive action was taken. Bentonville PD notified at 773-686-2255.","1 NM W of ORD","AWI3798 DEPARTED RUNWAY 28R REPORTED PASSING A DRONE ON DEAPRTURE.  NO OTHER AIRCRAFT REPORTED SEEING THE DRONE. ORD ADDED SUSPICOUS DRONE ACTIVITY TO THE ATIS AND NOTIFIED CITY OCC VIA DIRECT ACCESS. CLOSEST CITY WOULD BE BENSENVILLE IL. DOA OPS ALSO NOTIFIED AS WELL AS ROCC AND DEN",NA,"NA","NA"
"Aircraft observed a grey UAS 10 feet off the left side while W bound at 2200 feet, 5 NM NNE of NIP. No evasive action was taken. Jacksonville UAS notified at 252-333-6511.","5 NM NNE of NIP","N2048Z, BE33, reported a gray drone passed 10 feet off his left side, 5 northeast of NIP.  No evasive action taken.  NIP tower, DEN, ROC and Jacksonville UAS unit advised.  ",NA,"NA","NA"
"Aircraft observed a dark colored UAS off the right side while W bound at 1,800 feet, 2 NM NE of GYH. No evasive action was taken. Greenville Sheriff notified at 864-271-2510.","2 NM NE of GYH","1715: N421FC, C421 REPORTED A UAS, DARK COLOR, SMALL SIZE, WITHIN APPROXIMATELY 300' OFF RIGHT WING, NEAR TOWN OF CONESTEE. ALTITUDE APPROXIMATELY 1800' MSL, 900' AGL. AIRCRAFT WAS ON LEFT BASE FOR RUNWAY 23. INBOUND TO LAND, OPERATING IFR IN VMC CONDITIONS. WE HAVE NO AGREEMENTS WITH ANY UAS FOR THAT ALTITUDE. DID NOT CAUSE THE AIRCRAFT TO TAKE UNUSUAL MANEUVERS, BUT DID GET THE PILOT'S ATTENTION. GREENVILLE CO. SHERIFF DEPT. NOTIFIED 864-271-2510, OPTION 8.
1726: DEN NOTIFIED.
1738: GREENVILLE CO. SHERIFF DEPUTY REPORTED THEY WERE UNABLE TO FIND THE UAS OR OPERATOR..",NA,"NA","NA"
"Aircraft observed a black/white UAS 200 feet below off the right side while S bound at 3,000 feet, 4 NM W of JVY. No evasive action was taken. No impact to operations. LEO notified at 502-574-8610.","4 NM W of JVY","AWI3786 REPORTED THE UAS AT 3 0'CLOCK 200FT BELOW ON FINAL.",NA,"NA","NA"
"Aircraft observed a quadcopter UAS with a small red light pass 10 feet overhead while W bound at 12,500 feet, over OGD. No evasive action was taken. PIC reported it as a near mid-air. Local law enforcement was not notified because SLC TRACON said their checklist did not include that guidance. AJT notified.",NA,"Pilot headed west bound over the OGD VORTAC reported nearly missing a drone about 10 feet about the aircraft. Possible quad copter with a little red, but that may have been a light. The experimental aircraft departed KRKS and was en route to KLHM. DEN Notified. ROC ",NA,"NA","NA"
"Aircraft observed a white/blue quadcopter UAS off the right side while W bound at 1,800 feet, 5 NM E of PHL. No evasive action was taken. Airport PD notified at 215-937-6963.","5 NM E of PHL","AAL1007 A320 REPORTED WHITE ANND BLUE DRONE IN THE VICITINY OF JALTO. PHL AIRPORT POLICE AND DEN NOTIFIED. ",NA,"NA","NA"
"Aircraft observed a UAS 200 feet below while W bound at 4,000 feet ENE of LGA. No evasive action was taken. NYPD Aviation Unit notified at 718-692-1220.",NA,"LGA ARRIVAL JZA7632, LEVEL AT 4,000' ON A WESTBOUND HEADING OVER THE THROGGS NECK BRIDGE, REPORTED A DRONE OF UNKNOWN TYPE. COLOR OR DIRECTION, DIRECTLY BELOW THE AIRCRAFT BY 200'.  NO EVASIVE MANUEVERS NECESSARY.  NYPD AVIATION ADIVISED.",NA,"NA","NA"
"Aircraft observed a UAS off the left side while W bound at 1,500 feet, 12 NM E of SJU. No evasive action was taken. LEO notified at 787-791-3375.","12 NM E of SJU","VES2VL (BN2) a VFR aircraft moving along the shoreline westbound inbound to SIG reported on his descend from 2,000 feet to 500 feet, a red drone less than a quarter mile at 1,500 feet. Pilot reported to LC Control no evasive measures were taken and he was able to avoid drone. Normal operations. Reported to PRPD at 787-791-3375. ",NA,"15","NA"
"Aircraft observed a black quad-copter UAS overhead while SW bound at 2,800 feet, over CRI. No evasive action was taken. NYPD Aviation notified at 718-692-1220.",NA,"JBU308, E190 ARRIVAL TO JFK REPORTED A NMAC WITH A BLACK QUAD DRONE COPTER OVER CRI.  NO EVASIVE MANUVERS AD INJURIES REPORTED.  REPORTED TO NYPD AVIATION AD DEN.",NA,"NA","NA"
"DCA-1: UAS observed over Madison Building (DCA052002.2) in P56A, moving slowing SE. Dark in color with flashing lights. Approximately 200'.  DCA will do MOR. ",NA,"US CAPITOL POLICE REPORTED UAS, DARK COLORED NEAR US CAPITOL HEADING SOUTH. ",NA,"NA","NA"
"Aircraft observed a UAS 100 feet below while NE bound at 2000 feet, 1/2 NM E of PDK. No evasive action was taken. Chamblee Police notified at 770-986-5000.","1/2 NM E of PDK","While in the traffic pattern N178AF reported spotting a drone 100 feet below the as the past the midfield downwind. Airport operations, A80, DEN, and law enforcement notified. All inbound aircraft where notified of the drone report. Tower received no further reports between the initial report and close of the tower. 

N178AF described the drone as having a purple blinking light along with the normal red and green nav lights.",NA,"NA","NA"
"Aircraft observed a black quadcopter UAS with a red light off the right side while W bound at 5,000 feet, 20 NM E of ORD. No evasive action was taken. FBI notified at 312-421-6700.","20 NM E of ORD","SKW3173 REPORTED A DRONE 20 MILES NORTHEAST OF ORD AT 5,000. PILOT REPORTED IT AS A BLACK WITH RED LIGHTS. NO EVASSIVE ACTION WAS TAKEN.","20 MILES NORTHEAST OF ORD","NA","NA"
"Aircraft observed a red and green UAS while S bound at 8,000 feet, 20 NM N of SLC. No evasive action was taken. Weaver County Sheriff notified at 601-629-8221.","20 NM N of SLC","N605CA REPORTED A DRONE 20NM NORTH OF SLC, EAST OF HWY 89, AT 080.  ROC, DEN, AND LAW ENFORCEMENT NOTIFIED.","20NM NORTH OF SLC","41.0531","-111.9058"
"Aircraft observed a UAS while SE bound at 800 feet, 2.5 NM E of FLL. No evasive action was taken. BSO notified at 954-476-4731.","2.5 NM E of FLL","SIL86 ATR76 DEPARTED 10L ON A 110 HEADING AND REPORTED A DRONE OFFSHORE HEADING TOWARDS MIDFIELD FROM THE DEPARTURE END OF 10R. NO DESCRIPTION WAS GIVEN. THERE WAS NO EVASIVE ACTION TAKEN. NO OTHER REPORTS FROM OTHER AICRAFT.",NA,"NA","NA"
"Aircraft observed a silver UAS off the right side while N bound at 8,500 feet, 15 NM NE of GSO. No evasive action was taken. LEO notification not reported.","15 NM NE of GSO","WASHINGTON ARTCC(ZDC), AREA-5(CLT/ATL), MONTEBELLO RADAR SECTOR(MOL) R-60 ON FREQUENCY 121.67, WAS WORKING N4492S, BE36, VFR 8500 MSL NORTH BOUND, WHEN THE AIRCRAFT REPORTED ENCOUNTERING A UAS. REPORTED WHEN THE AIRCRAFT ON THE GSO050015 (N36.24,53/W-79.72,27), PASSED OFF OF THE RIGHT SIDE OF THE AIRCRAFT AT APROX 75 FT, REPORTED DIRECTION OF FLIGHT WAS VERTICAL, SILVER IN COLOR, 4 ROTORS. NO EVASIVE ACTION, NO INJURIES, NO DAMAGE. LAW ENFORCEMENT NOT NOTIFIED, DUE TO INABLIBLE TO DETERMINE LAW ENFORCEMENT AGENCY IN RURAL NC. ACN.",NA,"36.2453","-79.7227"
"Aircraft observed a silver and white UAS off the left side while S bound at 3,000 feet, 8NM final . No evasive action was taken. Orange County Sheriff notified at 407-893-3600.","8NM ","NKS303, A20N, (ACY-MCO), Pilot reported a unauthorized drone at 2012Z. UAS was silver and white in color off their left hand side moving northbound at 030 feet on a 8 mile final for RWY 17L. There was no evasive maneuvering. NKS303 landed RWY 17L safely and taxied to the gate. At 2018Z Orange County Sheriff Aviation were notified. 1-407-852-8600. DEN notified at 2019Z. UAS activity ended at 2042Z. ",NA,"NA","NA"
"Aircraft observed a large grey UAS at 5,500 feet NW bound while SE bound at 7,500 feet, 4NM N of FZI. No evasive action was taken. Seneca County Sheriff notified at 419-447-3456.","4NM N of FZI","N4554T, A PA28 AT 075, REPORTED A LARGE GRAY HELICOPTER DRONE 4NM NORTH OF 14G AIRPORT AT 055 ON A HEADING OF 330.","4NM NORTH","NA","NA"
"Aircraft observed a white UAS with 5 rotors off their front while N bound at 3,000 feet, 5NM S of FLL. No evasive action was taken. Miami-Dade PD notified at 305-595-6263.","5NM S of FLL","XOJ557 CL30 From MIA to BCT when 3 miles South of FLL headed 360 reported a small white drone 150 feet above hovering. No evasive action taken. BSO police notified, DEN, ROC, ATM advised.","3 miles S","26.0108","80.1033"
"Aircraft observed a UAS off the right side while SE bound at 2,000 feet, 7.5NM NW of PMP. No evasive action was taken. Broward County Sheriff notified at 954-764-4357.","7.5NM NW of PMP","N976CA WAS ON A PRACTICE APPROACH LANDING RY 15 AND REPORTED SEEING A WHITE DRONE FLYING AT 2,000 FEET IN A NORTHWESTERLY HEADING AS THEY WERE PASSING THE FINAL APPROACH FIX. ",NA,"NA","NA"
"Aircraft observed a gray UAS off the right side while NE bound at 3,500 feet, 16 NM NW of ORL. No evasive action was taken. Orange County Sheriff notified at 407-893-3600.","16 NM NW of ORL","N84GA LNC4 VFR/3,500ft reported seeing a gray drone 200ft below to the 2 o'clock position. No evasive action taken. DEN notified. Orange county sheriff notified 407-893-3600.",NA,"NA","NA"
"Aircraft observed a black and silver UAS off the right side while S bound at 1,000 feet, 3 NM N of TEB. No evasive action was taken. Hackensack PD notified.","3 NM N of TEB","FTH106 REPORTED PASSING A DRONE AT 1000 FEET ON THREE MILE FINAL. FTH106 WAS ARRIVING RUNWAY 19 ON THE GPS Y.FTH106 DID NOT NEED TO MAKE AN EVASIVE MANUEVERS AND LANDLY SAFELY.UPON LANDING FTH106 REPORTED TO THE TOWER THE UAS COLOR ,BLACK AN SILVER, AND DIDNT NOT RECALL THE TYPE.THE DRONE WAS VISALLY CONFIRMED BY THE CONTROLLERS.SUBSEQUENT AIRCRAFT DID NOPT SEE OR REPORT THE UAS. LOCAL BROADCASTED ADVISORIES TO ALL ARRIVING AICRAFT. ALL NECESSARY OFFICIALS WERE NOTIFIED.",NA,"NA","NA"
"Aircraft observed a UAS off the left side while SW bound at 3,500 feet, 16 NM NE of SLI. No evasive action was taken. ONT Air Unit notified at 909-986-6711.","16 NM NE of SLI","N1102V REPORTED DRONE SIGHTING, NEGATIVE INJURIES OR MANEUVERS.  ONT AIR UNIT (909)986-6711 NOTIFIED.",NA,"33.910900000000005","-117.7663"
"VFR Aircraft observed a white and grey UAS off the right side while SE bound at 2,500 feet, 41NM WNW of APE. No evasive action was taken. Ohio State Highway Patrol notified at 614-466-2660.","41NM WNW of APE","1752Z N12840 C172 Reported UAS moving right to left east bound 20 feet in front of him, no injuries, no evasive action taken. Reported altitude 025 a quad-copter white and grey in color. Reported Ohio Highway Patrol 614-466-2660, and the DEN. Added to CMH ATIS for advisories and broadcasted on frequency.",NA,"NA","NA"
"Aircraft observed a UAS at 700 feet 2 miles SW of SMO. No evasive action was taken. LEO notification not reported. ","2 miles SW of SMO","N184JD departed RWY21. Off the departure end, N4JD reported seeing a drone. The Local controller asked for more information and N4JD said it was a small drone, approx. 300ft in the air, and was headed toward the airport. The local controller let other A/C on frequency know about the reported drone. No other pilots reported seeing the drone afterwards.",NA,"NA","NA"
"Aircraft observed a black UAS 500 feet below them off the left side while N bound at 2,500 feet, 5NM S of DFW. No evasive action was taken. DFW DPS notified at 972-973-3210.","5NM S of DFW","SKW3179 REPORTED THAT A DRONE PASSED TO THE LEFT OF THE AIRCRAFT AND 1500 TO 2000FT ABOVE THE GROUND. THE DRONE WAS REPORTED TO BE A BLACK. OS NOTIFIED. OPERATIONAL PERSONNEL WERE ADVISED TO BROADCAST FOR AT LEAST 15MINS. PIREPS FOR VISUAL CONFIRMATION WERE REQUESTED AND SEVERAL ARRIVALS REPORTED NO IN SIGHT.",NA,"NA","NA"
"Aircraft observed a UAS off the right side while E bound at 7,000 feet, 4 NM S of SLC. No evasive action was taken. SLC PD notified at 801-575-2401.","4 NM S of SLC","N665WA REPORTED A DRONE SIGHTING OFF HIS RIGHT SIDE AND ESTIMATED HIS ALT AT 070. TOWER WAS INFORMED AND ASKED TO HAVE DAL1948 VERIFY UPON DEPT. DAL1948 ALSO REPORTED THE DRONE, THIS TIME IT WAS ON THE LEFT SIDE OF THE AIRCRAFT AND DAL ESTIMATED THE ALT TO BE AROUND 060.",NA,"NA","NA"
"Aircraft observed a black and white UAS off the left side while N bound at 1,500 feet, 5 NM S of DFW. No evasive action was taken. DFW DPS notified at 972-973-3210.","5 NM S of DFW","SKW3179 REPORTED THAT A DRONE PASSED TO THE LEFT OF THE AIRCRAFT AND 1500 TO 2000FT ABOVE THE GROUND. THE DRONE WAS REPORTED TO BE A BLACK. OS NOTIFIED. OPERATIONAL PERSONNEL WERE ADVISED TO BROADCAST FOR AT LEAST 15MINS. PIREPS FOR VISUAL CONFIRMATION WERE REQUESTED AND SEVERAL ARRIVALS REPORTED NO IN SIGHT.",NA,"NA","NA"
"Aircraft observed a white UAS while S bound at 5,500 feet, 2.5 NM NNE of TCH. No evasive action was taken. SLC PD notified at 801-575-2401.","2.5 NM NNE of TCH","JAS61/GLF6 REPORTED A DRONE AROUND TIFUL(TCH010003) AT 055 FLYING EAST BOUND WHITE IN COLOR. ACN. ",NA,"NA","NA"
"Aircraft observed a UAS while S bound at 1,800 feet, 12 NM E of LAM. No evasive action was taken. Orange County Sheriff notified at 949-252-5260.","12 NM E of LAM","NKS3090 REPORTED A UAS 20-40 FT BELOW THE AIRCRAFT. NO INJURIES. NO MANEUVERS. ALL NOTIFIED ",NA,"33.771300000000004","-117.80810000000001"
